"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",1,0.00451584776127057,8,1,0.0391811082273577,6,1.17581949635087,1
"regionSouth",NA,NA,NA,0,0.0811804471052778,1,0.839438812354292,2
"inflation",1,1.5244526530185e-22,1,1,0.0631084362008132,2,0.626747929332271,3
"end_month",1,2.0387217026238e-08,3,1,0.0300955017972997,7,0.567846594861084,4
"start_month",0.9,2.39254111960604e-05,9,1,0.0256160267472849,8,0.427121294854697,5
"total_damage_adjusted",1,0.000949684777340233,7,1,0.0230395422992994,9,0.366934174226226,6
"pre_shock_price",1,0.000228782813451244,5,1,0.0167553144354948,10,0.352221068138698,7
"regionMidwest",1,0.000515488928571829,6,1,0.044903631461674,5,0.303928558289886,8
"GDPCA",NA,NA,NA,0,0.0532375294226328,3,0.252624909877312,9
"cash_and_equivalents",NA,NA,NA,0,0.00767625801840908,19,0.214975200887639,10
"EBITDA.margin",1,2.80020319288508e-07,4,1,0.00939605509213418,16,0.208051081337467,11
"operating_income_loss",NA,NA,NA,0,0.00780872528576703,18,0.206172858952772,12
"Number.of.employees",NA,NA,NA,0,0.00956540992661277,14,0.169284367560488,13
"assets",NA,NA,NA,0,0.00942833927755142,15,0.156140803552932,14
"Net.inventory",NA,NA,NA,0,0.00863612630606555,17,0.155740329767456,15
"Total.cash...short.term.investments",NA,NA,NA,0,NA,NA,0.144877879967784,16
"disaster_year",1,2.02448158885685e-09,2,1,0.0461905812033283,4,0.143023392526048,17
"Net.debt",NA,NA,NA,0,0.00966406359277753,13,0.129187924051744,18
"regionWest",NA,NA,NA,0,0.0162948427570923,11,0.101730459196026,19
"regionNortheast",NA,NA,NA,0,0.0150170451737997,12,0.0772323090228363,20
"stockholders_equity",NA,NA,NA,0,0.00734481442723582,20,NA,NA
