"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",NA,NA,NA,0,0.068027672521199,3,0.799346600682266,1
"end_month",1,2.85744188493325e-14,2,1,0.0797026378080823,1,0.622627510028695,2
"regionSouth",NA,NA,NA,0,0.0635675758638551,4,0.527969648657917,3
"start_month",NA,NA,NA,0,0.0746768311725041,2,0.526971910527412,4
"total_damage_adjusted",1,7.68658352564791e-05,4,1,0.0576878863323813,5,0.449825270376804,5
"EBITDA.margin",NA,NA,NA,0,0.0205809465847232,6,NA,NA
"Net.debt",NA,NA,NA,0,0.0203757015723383,7,NA,NA
"pre_shock_price",NA,NA,NA,0,0.0203319510194507,8,NA,NA
"Net.inventory",NA,NA,NA,0,0.0192631626004882,9,NA,NA
"Liquidity.ratio",NA,NA,NA,0,0.0188942861322354,10,NA,NA
"inflation",1,2.35366987080644e-15,1,1,NA,NA,NA,NA
"regionMidwest",1,9.29136340685225e-06,3,1,NA,NA,NA,NA
