"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"inflation",1,1.8259409119292e-261,1,1,0.0995966875151766,1,1.27441168930128,1
"duration",1,9.63540688840416e-06,10,1,0.0290924254865525,6,1.07889085617798,2
"regionSouth",NA,NA,NA,0,0.0634896117374849,2,0.691686200058303,3
"start_month",NA,NA,NA,0,0.0285299137855068,7,0.574415731372579,4
"regionMidwest",1,3.67638696330769e-13,6,1,0.0521029791111442,5,0.56198335220519,5
"disaster_year",1,1.0490588376992e-185,2,1,0.0623475388696475,3,0.463086628366733,6
"pre_shock_price",NA,NA,NA,0,0.0118653174761534,11,0.396371412448154,7
"total_damage_adjusted",1,4.00708852300486e-10,7,1,0.0199581654847696,9,0.368881155067736,8
"end_month",0.9,0.0387340517332056,15,1,0.0235682707023056,8,0.331020949427837,9
"Net.inventory",1,0.000146956740540071,12,1,0.00944407931334994,15,0.294174158706174,10
"cash_and_equivalents",0.9,0.000887645686939509,14,1,0.0112433425671995,12,0.215081385527499,11
"operating_cash_flow",NA,NA,NA,0,NA,NA,0.193601405279836,12
"GDPCA",NA,NA,NA,0,0.058310109204968,4,0.183808329158126,13
"revenue",NA,NA,NA,0,0.00975736691928623,13,0.169290990555027,14
"assets",NA,NA,NA,0,0.00953878366393662,14,0.156090547714736,15
"assets_current",NA,NA,NA,0,NA,NA,0.141921779154826,16
"operating_income_loss",1,0.015386090497975,13,1,NA,NA,0.134862642189947,17
"stockholders_equity",NA,NA,NA,0,0.00928052674232672,16,0.134271775942323,18
"Number.of.employees",NA,NA,NA,0,0.00732407569681122,20,0.134141700155557,19
"Liquidity.ratio",NA,NA,NA,0,NA,NA,0.132815324183421,20
"Net.Income",1,8.32858434342562e-16,5,1,NA,NA,0.127203266302684,21
"Net.debt",1,2.99866784549812e-08,9,1,0.00865402555412154,18,0.126763929641971,22
"EBITDA.margin",1,3.84190819008095e-20,4,1,0.00821108244307645,19,0.126581542819986,23
"Cash.flow...Operating.revenue",1,2.40005668708828e-22,3,1,NA,NA,0.126034498083791,24
"Total.cash...short.term.investments",NA,NA,NA,0,NA,NA,0.124961055912559,25
"regionNortheast",1,5.14396593911888e-05,11,1,0.0090097861183409,17,0.0639430689562757,26
"regionWest",1,8.57661317738559e-10,8,1,0.0139711187580486,10,0.0636175914726846,27
