"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"inflation",1,3.88424398331546e-45,1,1,0.099936179958858,1,1.25818590778745,1
"duration",NA,NA,NA,0,0.021956024292367,9,1.13703991523961,2
"regionMidwest",1,4.28529362716305e-20,5,1,0.047728533890284,4,0.602237346204272,3
"regionSouth",NA,NA,NA,0,0.0582802130516479,2,0.589428784493574,4
"pre_shock_price",NA,NA,NA,0,0.0161818984666554,14,0.522087783390387,5
"total_damage_adjusted",1,0.0146806496673811,14,1,0.0262571932151261,6,0.505363392654764,6
"start_month",1,0.000428019791035558,11,1,0.0230158664382034,8,0.469451807493226,7
"EBITDA.margin",1,3.40257985326292e-42,2,1,0.0159066968702002,15,0.383999391983489,8
"Net.inventory",1,0.000192004771971242,10,1,0.0150597259913784,16,0.376576199890616,9
"end_month",1,0.000620691605101869,12,1,0.026010606974949,7,0.368745847721675,10
"cash_and_equivalents",NA,NA,NA,0,0.0196445408097284,10,0.361362693664327,11
"revenue",NA,NA,NA,0,0.018171590899357,11,0.320510341014364,12
"disaster_year",1,4.26228224224547e-34,3,1,0.0461481204694443,5,0.312958712532264,13
"GDPCA",1,6.10856070761079e-13,6,1,0.0500987122057816,3,0.288763725675141,14
"assets",0.8,0.037943365849565,15,1,0.0163810286479705,13,0.270845183607676,15
"stockholders_equity",NA,NA,NA,0,0.0104399417249369,19,0.241383309140549,16
"Net.debt",1,3.2849239416334e-08,7,1,0.0166985828863993,12,0.235205844239399,17
"Liquidity.ratio",1,4.5964750621038e-05,9,1,0.0122877956563802,17,0.230062619703948,18
"Number.of.employees",NA,NA,NA,0,0.00934130518143971,20,0.194689755725615,19
"Net.Income",1,0.00218059282518084,13,1,NA,NA,0.161583954496241,20
"Cash.flow...Operating.revenue",1,5.83856020167804e-26,4,1,NA,NA,0.142749049889452,21
"operating_income_loss",NA,NA,NA,0,NA,NA,0.139649880215386,22
"assets_current",NA,NA,NA,0,0.0106610179967625,18,0.124856813551681,23
"regionNortheast",NA,NA,NA,0,NA,NA,0.0935614286614943,24
"regionWest",NA,NA,NA,0,NA,NA,0.0799563729293809,25
"operating_cash_flow",1,3.31511997175163e-05,8,1,NA,NA,NA,NA
