"Model","Feature","XGB_SHAP","XGB_SHAP_Rank"
"XGBoost","inflation",1.27441168930128,1
"XGBoost","duration",1.07889085617798,2
"XGBoost","regionSouth",0.691686200058303,3
"XGBoost","start_month",0.574415731372579,4
"XGBoost","regionMidwest",0.56198335220519,5
"XGBoost","disaster_year",0.463086628366733,6
"XGBoost","pre_shock_price",0.396371412448154,7
"XGBoost","total_damage_adjusted",0.368881155067736,8
"XGBoost","end_month",0.331020949427837,9
"XGBoost","Net.inventory",0.294174158706174,10
"XGBoost","cash_and_equivalents",0.215081385527499,11
"XGBoost","operating_cash_flow",0.193601405279836,12
"XGBoost","GDPCA",0.183808329158126,13
"XGBoost","revenue",0.169290990555027,14
"XGBoost","assets",0.156090547714736,15
"XGBoost","assets_current",0.141921779154826,16
"XGBoost","operating_income_loss",0.134862642189947,17
"XGBoost","stockholders_equity",0.134271775942323,18
"XGBoost","Number.of.employees",0.134141700155557,19
"XGBoost","Liquidity.ratio",0.132815324183421,20
"XGBoost","Net.Income",0.127203266302684,21
"XGBoost","Net.debt",0.126763929641971,22
"XGBoost","EBITDA.margin",0.126581542819986,23
"XGBoost","Cash.flow...Operating.revenue",0.126034498083791,24
"XGBoost","Total.cash...short.term.investments",0.124961055912559,25
"XGBoost","regionNortheast",0.0639430689562757,26
"XGBoost","regionWest",0.0636175914726846,27
