"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",1,4.88279391736376e-06,4,1,0.0580387190732066,2,1.04089258322989,1
"start_month",NA,NA,NA,0,0.0481717216384942,4,0.738045971451471,2
"regionSouth",NA,NA,NA,0,0.0631007060527179,1,0.730930186958739,3
"end_month",1,0.0144142180350729,6,1,0.0436285262783965,5,0.700157402837284,4
"inflation",1,4.00124144542169e-14,1,1,0.049144266342809,3,0.40922123756909,5
"total_damage_adjusted",NA,NA,NA,0,0.0351853906425964,7,0.406356461497506,6
"regionMidwest",1,4.53576584248417e-06,3,1,0.0295323116123214,9,0.261460508351265,7
"GDPCA",NA,NA,NA,0,0.0361558231909086,6,0.246361148465019,8
"regionWest",1,7.67743727033225e-10,2,1,0.0217537921490837,10,0.207254927783548,9
"disaster_year",NA,NA,NA,0,0.0312430012109485,8,0.0945671076206573,10
"regionNortheast",1,0.000329092359756059,5,1,0.0181205585155682,11,NA,NA
"pre_shock_price",NA,NA,NA,0,0.0089600704331543,12,NA,NA
"Net.inventory",NA,NA,NA,0,0.0080655246995506,13,NA,NA
"Number.of.employees",NA,NA,NA,0,0.00794723472730058,14,NA,NA
"Net.debt",NA,NA,NA,0,0.00794211655839993,15,NA,NA
"assets",NA,NA,NA,0,0.00786218968058692,16,NA,NA
"EBITDA.margin",NA,NA,NA,0,0.00769681906358182,17,NA,NA
"Liquidity.ratio",NA,NA,NA,0,0.00752617937496148,18,NA,NA
"stockholders_equity",NA,NA,NA,0,0.00728473338290557,19,NA,NA
"Cash.flow...Operating.revenue",NA,NA,NA,0,0.0072038108034549,20,NA,NA
