"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",NA,NA,NA,0,0.0442990087716644,4,0.808214122137444,1
"start_month",1,1.04056580960595e-08,3,1,0.0465720709816006,3,0.703113468016346,2
"regionSouth",NA,NA,NA,0,0.0692805600093751,1,0.594188407731647,3
"end_month",NA,NA,NA,0,0.0411900621720654,5,0.463186850527532,4
"inflation",1,1.96470765994993e-22,1,1,0.0491537615780051,2,0.374892359343021,5
"total_damage_adjusted",NA,NA,NA,0,0.0335876188479136,7,0.35286919744754,6
"regionWest",1,0.00840954534832491,5,1,0.0242566746950642,10,0.268237770483083,7
"pre_shock_price",NA,NA,NA,0,0.00988480542863751,12,0.208916307981125,8
"Liquidity.ratio",NA,NA,NA,0,0.00847689658719133,14,0.205463355358298,9
"GDPCA",NA,NA,NA,0,0.0358895532609088,6,0.191579270108802,10
"Net.inventory",NA,NA,NA,0,0.00873486967890311,13,0.191228549237173,11
"regionMidwest",1,2.80811447519857e-05,4,1,0.0291370050849367,9,0.162595956540529,12
"Number.of.employees",NA,NA,NA,0,0.00837272513675802,15,0.152702071524527,13
"disaster_year",1,3.5011123440907e-09,2,1,0.0323970722426457,8,0.0907694869952835,14
"regionNortheast",1,0.0144354420486912,6,1,0.0184156528832073,11,0.072650280307114,15
"assets",NA,NA,NA,0,0.00818793389408535,16,NA,NA
"EBITDA.margin",NA,NA,NA,0,0.00796343426138426,17,NA,NA
"Net.debt",NA,NA,NA,0,0.00789542096610563,18,NA,NA
"Cash.flow...Operating.revenue",NA,NA,NA,0,0.00778490922515621,19,NA,NA
"cash_and_equivalents",NA,NA,NA,0,0.0076662126028745,20,NA,NA
