"Model","Feature","XGB_SHAP","XGB_SHAP_Rank"
"XGBoost","inflation",1.25818590778745,1
"XGBoost","duration",1.13703991523961,2
"XGBoost","regionMidwest",0.602237346204272,3
"XGBoost","regionSouth",0.589428784493574,4
"XGBoost","pre_shock_price",0.522087783390387,5
"XGBoost","total_damage_adjusted",0.505363392654764,6
"XGBoost","start_month",0.469451807493226,7
"XGBoost","EBITDA.margin",0.383999391983489,8
"XGBoost","Net.inventory",0.376576199890616,9
"XGBoost","end_month",0.368745847721675,10
"XGBoost","cash_and_equivalents",0.361362693664327,11
"XGBoost","revenue",0.320510341014364,12
"XGBoost","disaster_year",0.312958712532264,13
"XGBoost","GDPCA",0.288763725675141,14
"XGBoost","assets",0.270845183607676,15
"XGBoost","stockholders_equity",0.241383309140549,16
"XGBoost","Net.debt",0.235205844239399,17
"XGBoost","Liquidity.ratio",0.230062619703948,18
"XGBoost","Number.of.employees",0.194689755725615,19
"XGBoost","Net.Income",0.161583954496241,20
"XGBoost","Cash.flow...Operating.revenue",0.142749049889452,21
"XGBoost","operating_income_loss",0.139649880215386,22
"XGBoost","assets_current",0.124856813551681,23
"XGBoost","regionNortheast",0.0935614286614943,24
"XGBoost","regionWest",0.0799563729293809,25
