"Model","Feature","XGB_SHAP","XGB_SHAP_Rank"
"XGBoost","duration",1.01786562001294,1
"XGBoost","regionSouth",0.879720250465621,2
"XGBoost","inflation",0.698165318801829,3
"XGBoost","start_month",0.672645060843834,4
"XGBoost","end_month",0.432695866842918,5
"XGBoost","regionMidwest",0.373202680469752,6
"XGBoost","total_damage_adjusted",0.360078079525286,7
"XGBoost","pre_shock_price",0.343700815601985,8
"XGBoost","GDPCA",0.279318953049535,9
"XGBoost","regionWest",0.191143675159132,10
"XGBoost","cash_and_equivalents",0.184893286138486,11
"XGBoost","Net.Income",0.165165715793981,12
"XGBoost","operating_income_loss",0.123158261800332,13
"XGBoost","EBITDA.margin",0.122461811715378,14
"XGBoost","disaster_year",0.111899499673238,15
"XGBoost","Net.debt",0.104695142735878,16
"XGBoost","Liquidity.ratio",0.099315287592278,17
"XGBoost","Number.of.employees",0.0981618705611325,18
"XGBoost","Cash.flow...Operating.revenue",0.0959550079335349,19
"XGBoost","Net.inventory",0.0910475095594128,20
"XGBoost","Total.cash...short.term.investments",0.0891077594024163,21
"XGBoost","operating_cash_flow",0.0868910348291911,22
"XGBoost","stockholders_equity",0.0830343932291708,23
"XGBoost","assets",0.0825492917413983,24
"XGBoost","revenue",0.0821561080210425,25
"XGBoost","assets_current",0.0816479775014771,26
"XGBoost","regionNortheast",0.0527145066839675,27
