"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",NA,NA,NA,0,0.0430221352003565,4,0.781690485996288,1
"start_month",0.9,2.18154075319972e-10,4,1,0.0458870547345667,3,0.591262507727826,2
"end_month",NA,NA,NA,0,0.0502362693022991,1,0.530411454053691,3
"total_damage_adjusted",1,0.000411192174109916,3,1,0.0321270301752752,5,0.525945539200121,4
"regionSouth",NA,NA,NA,0,0.0466760553533031,2,0.463485017946447,5
"inflation",1,1.8002683714303e-12,1,1,0.0304440544247265,6,NA,NA
"disaster_year",1,3.49192830995489e-07,2,1,0.0213175317977919,7,NA,NA
"GDPCA",NA,NA,NA,0,0.0189390632465119,8,NA,NA
"regionMidwest",NA,NA,NA,0,0.0166524835062693,9,NA,NA
"regionWest",NA,NA,NA,0,0.0125008770010987,10,NA,NA
"pre_shock_price",NA,NA,NA,0,0.0107503772955539,11,NA,NA
"regionNortheast",NA,NA,NA,0,0.0096090846514721,12,NA,NA
"Net.debt",NA,NA,NA,0,0.00760214717263519,13,NA,NA
"Net.Income",NA,NA,NA,0,0.007600457607343,14,NA,NA
"stockholders_equity",NA,NA,NA,0,0.00752622635283357,15,NA,NA
"Number.of.employees",NA,NA,NA,0,0.00741375284084288,16,NA,NA
"Liquidity.ratio",NA,NA,NA,0,0.00739022310380153,17,NA,NA
"assets",NA,NA,NA,0,0.00737338560629428,18,NA,NA
"cash_and_equivalents",NA,NA,NA,0,0.00733226679919353,19,NA,NA
"Cash.flow...Operating.revenue",NA,NA,NA,0,0.00733108560119394,20,NA,NA
"operating_income_loss",NA,NA,NA,0,0.00730846703015746,21,NA,NA
"EBITDA.margin",NA,NA,NA,0,0.00729686942880859,22,NA,NA
"Total.cash...short.term.investments",NA,NA,NA,0,0.00717674186613496,23,NA,NA
"Net.inventory",NA,NA,NA,0,0.00704853861062015,24,NA,NA
"revenue",NA,NA,NA,0,0.00702409969883058,25,NA,NA
"operating_cash_flow",NA,NA,NA,0,0.00681261107206437,26,NA,NA
"assets_current",NA,NA,NA,0,0.00660540057366297,27,NA,NA
