"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"inflation",1,1.18700802248837e-130,1,1,0.100398904742237,1,1.27619270673933,1
"duration",1,0.000352245002699134,13,1,0.0223512831458688,7,0.992725999174188,2
"start_month",1,1.24063760495774e-08,7,1,0.0225048573588626,6,0.664181954598668,3
"regionSouth",NA,NA,NA,0,0.0718917517472255,2,0.654031328325812,4
"regionMidwest",1,0.000834700895700243,15,1,0.0586789236536432,5,0.646563926640756,5
"pre_shock_price",1,6.963618246694e-06,12,1,0.0165827800473933,9,0.542170200667309,6
"total_damage_adjusted",1,3.61850986562619e-07,8,1,0.0162542882970054,11,0.374085939982448,7
"cash_and_equivalents",1,7.72672924080344e-07,9,1,0.016423087296462,10,0.36618602014689,8
"end_month",NA,NA,NA,0,0.0171218603959668,8,0.303988619939463,9
"GDPCA",NA,NA,NA,0,0.0605891048363734,4,0.251090222569206,10
"disaster_year",1,1.21970998419492e-94,2,1,0.0614794245070805,3,0.215720107956821,11
"assets_current",NA,NA,NA,0,NA,NA,0.214548702106655,12
"EBITDA.margin",1,0.00157369316257644,16,1,0.00826413575738598,20,0.208526279475765,13
"Liquidity.ratio",1,1.28328777749725e-06,10,1,NA,NA,0.201591064316466,14
"stockholders_equity",NA,NA,NA,0,0.0125373590687156,12,0.19486994315713,15
"Net.inventory",NA,NA,NA,0,0.0103598622939549,17,0.193266403991764,16
"operating_income_loss",1,4.41394113623742e-22,3,1,0.0107763553436476,16,0.187866183990811,17
"assets",NA,NA,NA,0,0.0109675162081308,15,0.178781635701747,18
"revenue",NA,NA,NA,0,0.0115003366175474,13,0.171372581390667,19
"Total.cash...short.term.investments",1,2.96146840157717e-06,11,1,NA,NA,0.160123033644023,20
"Net.debt",1,0.00076309077181724,14,1,0.0110709630232447,14,0.159421605856346,21
"Net.Income",1,4.67006676780604e-18,4,1,NA,NA,0.153979071947729,22
"Number.of.employees",NA,NA,NA,0,NA,NA,0.129478658939579,23
"operating_cash_flow",NA,NA,NA,0,NA,NA,0.115532357140329,24
"Cash.flow...Operating.revenue",NA,NA,NA,0,0.00900351566249248,18,0.109767548820682,25
"regionWest",1,3.37566388745836e-11,6,1,0.0088604930175218,19,0.0826186407268183,26
"regionNortheast",1,9.32293450067906e-15,5,1,NA,NA,0.0379501995284786,27
