"Feature","VIM","pValue","MultiSplit_Rank","MultiSplit_Selected","RF_SHAP","RF_SHAP_Rank","XGB_SHAP","XGB_SHAP_Rank"
"duration",0.9,0.0217295585730088,5,1,0.0579067600200756,2,1.04841235375332,1
"end_month",1,3.44543335439314e-13,1,1,0.0410093819851794,4,0.788186448494566,2
"regionSouth",NA,NA,NA,0,0.0734402409301101,1,0.732070654822232,3
"start_month",NA,NA,NA,0,0.0399666225779617,5,0.517396547949623,4
"total_damage_adjusted",NA,NA,NA,0,0.0347820380471369,7,0.408002133516679,5
"inflation",NA,NA,NA,0,0.0417545411158383,3,0.374960297883752,6
"regionMidwest",1,0.000148025635795296,4,1,0.0346748491876529,8,0.256784767458615,7
"GDPCA",1,2.22914938044205e-07,2,1,0.0365542990740343,6,0.223215879965341,8
"regionWest",1,3.65618226340751e-06,3,1,0.0228406359383997,10,0.212407852250454,9
"disaster_year",NA,NA,NA,0,0.0298986061962566,9,0.141573074860783,10
"regionNortheast",NA,NA,NA,0,0.015794180733766,11,NA,NA
"pre_shock_price",NA,NA,NA,0,0.0136610355571002,12,NA,NA
"EBITDA.margin",NA,NA,NA,0,0.0135317952025729,13,NA,NA
"assets",NA,NA,NA,0,0.0126269270590098,14,NA,NA
"Net.debt",NA,NA,NA,0,0.012298108309467,15,NA,NA
