country,sect,t,upstreamness,source
USA,15,2023,1.711543178,adb
USA,15,2024,1.72282805,adb
USA,16,2014,1.667848211,adb
USA,16,2015,1.661555251,adb
USA,16,2016,1.65773015,adb
USA,16,2017,1.667109506,adb
USA,16,2018,1.714049142,adb
USA,16,2019,1.683215676,adb
USA,16,2020,1.466750556,adb
USA,16,2021,1.452961147,adb
USA,16,2022,1.443550218,adb
USA,16,2023,1.475912545,adb
USA,16,2024,1.465873852,adb
USA,17,2014,1.86588055,adb
USA,17,2015,1.825040754,adb
USA,17,2016,1.810517493,adb
USA,17,2017,1.875455806,adb
USA,17,2018,1.829896409,adb
USA,17,2019,1.773293385,adb
USA,17,2020,1.979539196,adb
USA,17,2021,1.988507662,adb
USA,17,2022,2.009535495,adb
USA,17,2023,1.952067701,adb
USA,17,2024,1.93900027,adb
USA,18,2014,1.302485867,adb
USA,18,2015,1.284954725,adb
USA,18,2016,1.288329318,adb
USA,18,2017,1.319718189,adb
USA,18,2018,1.298514827,adb
USA,18,2019,1.300063173,adb
USA,18,2020,1.248628272,adb
USA,18,2021,1.261265807,adb
USA,18,2022,1.271168655,adb
USA,18,2023,1.252187549,adb
USA,18,2024,1.249528147,adb
USA,19,2014,1.35540457,adb
USA,19,2015,1.340129196,adb
USA,19,2016,1.333718537,adb
USA,19,2017,1.355524494,adb
USA,19,2018,1.328952037,adb
USA,19,2019,1.408928961,adb
USA,19,2020,1.193230842,adb
USA,19,2021,1.19379626,adb
USA,19,2022,1.205430203,adb
USA,19,2023,1.192284695,adb
USA,19,2024,1.192749886,adb
USA,20,2014,1.999128121,adb
USA,20,2015,1.983071333,adb
USA,20,2016,1.957905508,adb
USA,20,2017,2.000616062,adb
USA,20,2018,2.091238986,adb
USA,20,2019,2.040071368,adb
USA,20,2020,1.988448712,adb
USA,20,2021,2.026712889,adb
USA,20,2022,2.061149882,adb
USA,20,2023,2.003189767,adb
USA,20,2024,2.005182387,adb
USA,21,2014,1.181146551,adb
USA,21,2015,1.180701534,adb
USA,21,2016,1.181095566,adb
USA,21,2017,1.218534307,adb
USA,21,2018,1.244020866,adb
USA,21,2019,1.241804567,adb
USA,21,2020,1.275643425,adb
USA,21,2021,1.283350643,adb
USA,21,2022,1.292766148,adb
USA,21,2023,1.278070871,adb
USA,21,2024,1.277227138,adb
USA,22,2014,1.42744323,adb
USA,22,2015,1.406187594,adb
USA,22,2016,1.399765241,adb
USA,22,2017,1.42270821,adb
USA,22,2018,1.44020865,adb
USA,22,2019,1.445409486,adb
USA,22,2020,1.356838666,adb
USA,22,2021,1.363179006,adb
USA,22,2022,1.37405289,adb
USA,22,2023,1.356583142,adb
USA,22,2024,1.354653497,adb
USA,23,2014,2.293083903,adb
USA,23,2015,2.244567406,adb
USA,23,2016,2.218145588,adb
USA,23,2017,2.282911247,adb
USA,23,2018,2.243196928,adb
USA,23,2019,2.21294089,adb
USA,23,2020,2.245616774,adb
USA,23,2021,2.257304736,adb
USA,23,2022,2.313105766,adb
USA,23,2023,2.227447523,adb
USA,23,2024,2.214886642,adb
USA,24,2014,2.352663949,adb
USA,24,2015,2.366909328,adb
USA,24,2016,2.340491115,adb
USA,24,2017,2.438998145,adb
USA,24,2018,2.460438598,adb
USA,24,2019,2.355940921,adb
USA,24,2020,2.067587576,adb
USA,24,2021,2.150170918,adb
USA,24,2022,2.096095183,adb
USA,24,2023,2.060767281,adb
USA,24,2024,2.039096449,adb
USA,25,2014,2.042931941,adb
USA,25,2015,2.02839363,adb
USA,25,2016,2.012903738,adb
USA,25,2017,2.098877989,adb
USA,25,2018,2.029876008,adb
USA,25,2019,1.998395897,adb
USA,25,2020,1.882247871,adb
USA,25,2021,1.932972896,adb
USA,25,2022,1.947921539,adb
USA,25,2023,1.925080666,adb
USA,25,2024,1.949400313,adb
USA,26,2014,2.864971306,adb
USA,26,2015,2.841168358,adb
USA,26,2016,2.816792718,adb
USA,26,2017,2.961189307,adb
USA,26,2018,2.939153457,adb
USA,26,2019,2.953838343,adb
USA,26,2020,2.948088767,adb
USA,26,2021,2.973777322,adb
USA,26,2022,3.009065041,adb
USA,26,2023,2.914060766,adb
USA,26,2024,2.91142587,adb
USA,27,2014,2.042981521,adb
USA,27,2015,2.01297311,adb
USA,27,2016,1.995494092,adb
USA,27,2017,2.042465706,adb
USA,27,2018,2.085160136,adb
USA,27,2019,2.095386325,adb
USA,27,2020,1.7834588,adb
USA,27,2021,1.796549351,adb
USA,27,2022,1.810755918,adb
USA,27,2023,1.763605899,adb
USA,27,2024,1.760147464,adb
USA,28,2014,2.158689272,adb
USA,28,2015,2.117794067,adb
USA,28,2016,2.098017086,adb
USA,28,2017,2.192744056,adb
USA,28,2018,2.185819732,adb
USA,28,2019,2.197339794,adb
USA,28,2020,2.071966086,adb
USA,28,2021,2.079804398,adb
USA,28,2022,2.113512041,adb
USA,28,2023,2.083021089,adb
USA,28,2024,2.08399762,adb
USA,29,2014,1.492994311,adb
USA,29,2015,1.476064933,adb
USA,29,2016,1.470421583,adb
USA,29,2017,1.492800036,adb
USA,29,2018,1.564688545,adb
USA,29,2019,1.516333638,adb
USA,29,2020,1.487773839,adb
USA,29,2021,1.498893074,adb
USA,29,2022,1.511318019,adb
USA,29,2023,1.486137123,adb
USA,29,2024,1.48269934,adb
USA,30,2014,2.455788248,adb
USA,30,2015,2.41742807,adb
USA,30,2016,2.408048148,adb
USA,30,2017,2.428384175,adb
USA,30,2018,2.462553522,adb
USA,30,2019,2.423592466,adb
USA,30,2020,2.304238587,adb
USA,30,2021,2.364589458,adb
USA,30,2022,2.395893935,adb
USA,30,2023,2.333542021,adb
USA,30,2024,2.331566682,adb
USA,31,2014,1.177343705,adb
USA,31,2015,1.171005203,adb
USA,31,2016,1.168611327,adb
USA,31,2017,1.187271829,adb
USA,31,2018,1.008744567,adb
USA,31,2019,1.00785083,adb
USA,31,2020,1.238122919,adb
USA,31,2021,1.256131352,adb
USA,31,2022,1.280454963,adb
USA,31,2023,1.26036568,adb
USA,31,2024,1.264984825,adb
USA,32,2014,1.253479246,adb
USA,32,2015,1.242165149,adb
USA,32,2016,1.23712234,adb
USA,32,2017,1.198489265,adb
USA,32,2018,1.101087163,adb
USA,32,2019,1.316474252,adb
USA,32,2020,1.149933234,adb
USA,32,2021,1.163060233,adb
USA,32,2022,1.178386962,adb
USA,32,2023,1.166931063,adb
USA,32,2024,1.167289488,adb
USA,33,2014,1.038953296,adb
USA,33,2015,1.037775914,adb
USA,33,2016,1.037472724,adb
USA,33,2017,1.039096792,adb
USA,33,2018,1.025962482,adb
USA,33,2019,1.038765979,adb
USA,33,2020,1.022829986,adb
USA,33,2021,1.022189603,adb
USA,33,2022,1.022898369,adb
USA,33,2023,1.022741312,adb
