disaster_subtype,event_name,start_date,end_date,affected_states,magnitude_kph,total_damage_adjusted
Blizzard/Winter storm,2012_dec_storm1,2012/12/19,2012/12/21,"Iowa, Kansas, Nebraska, Wisconsin",100,2733
Blizzard/Winter storm,2012_dec_storm2,2012/12/25,2012/12/27,"Alabama, Arkansas, Indiana, Louisiana, Mississippi, New Jersey, New York, Pennsylvania, Texas, Virginia",,136628
Tornado,2012_feb_storm1,2012/2/28,2012/2/29,"Illinois, Indiana, Kansas, Kentucky, Missouri, Nebraska",270,683139
Tornado,2012_mar_storm1,2012/3/2,2012/3/4,"Alabama, Florida, Georgia, Illinois, Indiana, Kentucky, Mississippi, North Carolina, Ohio, Tennessee, Virginia",112,6831386
Tornado,2012_apr_storm2,2012/4/14,2012/4/15,"Iowa, Kansas, Minnesota, Nebraska, Oklahoma, South Dakota",,2459299
Tornado,2012_apr_storm1,2012/4/2,2012/4/3,Texas,,2117730
Severe weather,2012_apr_storm3,2012/4/28,2012/4/29,"Illinois, Indiana, Kentucky, Missouri, Texas",,6148247
Lightning/Thunderstorms,2012_may_storm1,2012/5/25,2012/5/30,"Kansas, Minnesota, New York, Oklahoma, Pennsylvania, Texas",,4645342
Lightning/Thunderstorms,2012_jun_storm2,2012/6/11,2012/6/13,"New Mexico, Texas",,2595927
Tropical cyclone,Debby_1,2012/6/22,2012/6/27,Washington,,286918
Severe weather,2012_jun_storm3,2012/6/28,2012/7/2,"Illinois, Indiana, Kentucky, Maryland, New Jersey, North Carolina, Ohio, South Carolina, Virginia, West Virginia",146,5465109
Lightning/Thunderstorms,2012_jun_storm1,2012/6/6,2012/6/7,"Colorado, Wyoming",,1912788
Lightning/Thunderstorms,2012_jul_storm1,2012/7/2,2012/7/4,"Michigan, Minnesota, Ohio, Pennsylvania, Wisconsin",,956394
Tropical cyclone,Isaac,2012/8/28,2012/8/29,"Louisiana, Mississippi",,2732554
Lightning/Thunderstorms,2012_sep_storm1,2012/9/7,2012/9/9,"Arkansas, Maryland, Missouri, New York, Oklahoma, Pennsylvania, Virginia",95,286918
