disaster_subtype,event_name,start_date,end_date,affected_states,magnitude_kph,total_damage_adjusted
Tornado,2019_apr_storm1,2019/4/13,2019/4/14,"Alabama, Arkansas, Georgia, Louisiana, Mississippi, North Carolina, Ohio, Pennsylvania, Texas",160,1595086
Tropical cyclone,Barry,2019/7/13,2019/7/15,"Arkansas, Louisiana, Mississippi, Oklahoma",,736194
Tropical cyclone,Dorian,2019/8/28,2019/9/6,"Florida, Georgia, North Carolina, South Carolina, Virginia",150,1963183
Tropical cyclone,Imelda,2019/9/17,2019/9/21,Texas,65,4294462
Severe weather,2020_jan_storm1,2020/1/10,2020/1/12,"Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas",,1454445
Tropical cyclone,Zeta,2020/10/24,2020/10/30,"Alabama, Georgia, Louisiana, Mississippi, North Carolina, South Carolina",175,4242132
Tropical cyclone,Delta,2020/10/7,2020/10/11,"Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Texas",195,3514909
Lightning/Thunderstorms,2020_nov_storm1,2020/11/10,2020/11/10,"Illinois, Maryland, North Carolina, Virginia, Wisconsin",110,424213
Tropical cyclone,Eta,2020/11/8,2020/11/12,"Florida, North Carolina, Virginia",100,1818057
Tornado,2020_mar_storm1,2020/3/2,2020/3/5,"Arkansas, Georgia, Illinois, Indiana, Kentucky, Mississippi, Missouri, Ohio, Oklahoma, Pennsylvania, Tennessee, Texas, Virginia, West Virginia",,3030094
Severe weather,2020_mar_storm2,2020/3/27,2020/3/28,"Arkansas, Illinois, Indiana, Kentucky, Missouri, Ohio, Oklahoma, Pennsylvania, Tennessee, Texas, Virginia, West Virginia",,3514909
Tornado,2020_apr_storm2,2020/4/10,2020/4/14,"Alabama, Arkansas, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Texas",160,4242132
Tornado,2020_apr_storm3,2020/4/21,2020/4/24,"Alabama, Florida, Georgia, Louisiana, Mississippi, Oklahoma, Texas, Virginia",,1696853
Tornado,2020_apr_storm1,2020/4/6,2020/4/9,"Arkansas, Illinois, Indiana, Iowa, Kentucky, Michigan, Missouri, Ohio, Tennessee, Wisconsin",,3514909
Severe weather,2020_may_storm1,2020/5/2,2020/5/3,"Arkansas, Kansas, Missouri, Oklahoma, South Carolina, Tennessee",130,2545279
Severe weather,2020_may_storm2,2020/5/20,2020/5/23,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, North Carolina, Oklahoma, South Carolina, Tennessee, Texas",,1939260
Hail,2020_may_storm3,2020/5/27,2020/5/27,Texas,,1696853
Tropical cyclone,Cristobal,2020/6/7,2020/6/7,Louisiana,85,393912
Tropical cyclone,Hanna,2020/7/25,2020/7/25,Texas,150,1333241
Tropical cyclone,Isaias,2020/7/31,2020/8/2,"Connecticut, Delaware, Florida, Maryland, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Virginia",,5817781
Tropical cyclone,Laura,2020/8/27,2020/8/28,"Arkansas, Louisiana, Mississippi, Texas",240,15756490
Derecho,2020_aug_storm1,2020/8/8,2020/8/12,"Delaware, Illinois, Indiana, Iowa, Kansas, Maryland, Michigan, Minnesota, Missouri, Nebraska, New Jersey, New York, North Dakota, Ohio, Pennsylvania, South Dakota, Virginia, Washington, West Virginia, Wisconsin",,8241856
Tropical cyclone,Sally,2020/9/11,2020/9/18,"Alabama, Florida",165,7635838
Severe weather,2021_jan_storm1,2021/1/13,2021/1/15,"Oregon, Washington",,781416
Severe weather,2021_jan_storm3,2021/1/24,2021/1/29,California,,1273418
Tornado,2021_jan_storm2,2021/1/24,2021/1/27,Alabama,,138918
Blizzard/Winter storm,2021_jan_storm4,2021/1/30,2021/2/2,"Maine, Massachusetts, New Jersey, New York, Pennsylvania, Virginia, Washington",,115765
Tornado,2021_dec_storm1,2021/12/10,2021/12/11,"Arkansas, Illinois, Kentucky, Michigan, Mississippi, Missouri, Ohio, Tennessee, Wisconsin",310,6019797
Severe weather,2021_dec_storm2,2021/12/15,2021/12/16,"Colorado, Iowa, Kansas, Minnesota, Missouri, Nebraska, New Mexico, Wisconsin",160,2199541
Blizzard/Winter storm,2021_feb_storm1,2021/2/10,2021/2/20,"Arkansas, Colorado, Illinois, Kentucky, Louisiana, Mississippi, Missouri, Nebraska, North Carolina, Oklahoma, Oregon, Tennessee, Texas, Washington",,34729595
Tornado,2021_mar_storm1,2021/3/16,2021/3/18,"Alabama, Louisiana, Mississippi",,578827
Tornado,2021_mar_storm2,2021/3/24,2021/3/26,"Alabama, Georgia, Kentucky, Mississippi, Tennessee",,1968010
Severe weather,2021_apr_storm2,2021/4/13,2021/4/15,"Alabama, Florida, Louisiana, Mississippi, Texas",,248895
Severe weather,2021_apr_storm3,2021/4/15,2021/4/16,Texas,,1736480
Severe weather,2021_apr_storm4,2021/4/27,2021/5/2,"Oklahoma, Texas",,3588725
Severe weather,2021_apr_storm1,2021/4/9,2021/4/11,"Alabama, Florida, Louisiana, Mississippi",,1093982
Severe weather,2021_may_storm2,2021/5/14,2021/5/19,Louisiana,,1504949
Tornado,2021_may_storm1,2021/5/2,2021/5/4,"Alabama, Arkansas, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Texas, Virginia",,1504949
Storm (General),Claudette,2021/6/18,2021/6/21,"Alabama, Florida, Louisiana, Mississippi",,434120
Tropical cyclone,Elsa,2021/7/2,2021/7/9,"California, Florida, Georgia, North Carolina, South Carolina",100,1389184
Severe weather,2021_jul_storm1,2021/7/8,2021/7/11,"Arizona, Iowa, Missouri, Nebraska, New Mexico, North Dakota, South Dakota, Texas",,1389184
Lightning/Thunderstorms,2021_aug_storm1,2021/8/10,2021/8/13,"Illinois, Indiana, Michigan, Missouri, Ohio, Wisconsin",,1504949
Tropical cyclone,Fred,2021/8/17,2021/8/22,"Florida, North Carolina",,1504949
Tropical cyclone,Henri,2021/8/20,2021/8/25,"Connecticut, New Jersey, New York, Rhode Island, Vermont",120,636709
Tropical cyclone,Ida_2,2021/8/28,2021/9/2,"Connecticut, Delaware, Louisiana, Maryland, New Jersey, New York, Pennsylvania, Virginia",240,75247457
Tropical cyclone,Nicholas,2021/9/12,2021/9/17,"Louisiana, Texas",,1157653
Blizzard/Winter storm,2022_jan_storm1,2022/1/2,2022/1/3,"Georgia, Maryland, Missouri, New Jersey, Tennessee, Virginia, Washington",,562733
Tropical cyclone,Nicole,2022/11/10,2022/11/11,Florida,120,1071873
Severe weather,2022_nov_storm1,2022/11/4,2022/11/5,"Arkansas, Oklahoma, Texas",,401952
Storm (General),2022_dec_storm1,2022/12/12,2022/12/15,"Alabama, Florida, Georgia, Louisiana, Mississippi, Oklahoma, Texas",,369796
Blizzard/Winter storm,Elliott,2022/12/19,2022/12/29,"Colorado, Connecticut, Georgia, Idaho, Kansas, Kentucky, Maryland, Missouri, New Hampshire, New York, North Carolina, Ohio, Oklahoma, Oregon, South Dakota, Tennessee, Vermont, Virginia, Washington, West Virginia, Wisconsin",120,2894058
Storm (General),2022_dec_storm2,2022/12/26,2023/3/26,California,,1071873
Tornado,2022_feb_storm1,2022/2/1,2022/2/5,Alabama,,563805
Tornado,2022_mar_storm2,2022/3/21,2022/3/23,"Alabama, Louisiana, Mississippi, North Carolina, Ohio, Oklahoma, South Carolina, Texas",,3215620
Severe weather,2022_mar_storm3,2022/3/29,2022/4/1,"Alabama, Arkansas, Florida, Iowa, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Pennsylvania, Texas, Washington",177,1393435
Tornado,2022_mar_storm1,2022/3/5,2022/3/7,"Arkansas, Connecticut, Illinois, Indiana, Iowa, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont",275,878936
Tornado,2022_apr_storm2,2022/4/11,2022/4/14,"Alabama, Arkansas, Indiana, Iowa, Kentucky, Louisiana, Minnesota, Mississippi, Oklahoma, Tennessee, Texas",265,3001245
Storm (General),2022_apr_storm3,2022/4/15,2022/4/18,"Alabama, Arkansas, Florida, Mississippi, Oklahoma, Texas",,945392
Storm (General),2022_apr_storm4,2022/4/21,2022/4/24,"Kansas, Minnesota, Missouri, Montana, Nebraska, North Carolina, North Dakota, South Dakota, Texas, Virginia",130,668849
Tornado,2022_apr_storm5,2022/4/26,2022/5/5,"Kansas, Oklahoma, Texas",,624902
Tornado,2022_apr_storm1,2022/4/4,2022/4/7,"Alabama, Florida, Georgia, Mississippi, South Carolina, Texas",,3429995
Derecho,2022_may_storm2,2022/5/19,2022/5/26,"Illinois, Kentucky, Michigan, Minnesota, Missouri, Wisconsin",,2679683
Storm (General),2022_may_storm1,2022/5/5,2022/5/11,"Minnesota, North Carolina, Ohio, Oklahoma, Pennsylvania, Texas, Virginia, West Virginia, Wisconsin",,1286248
Tropical cyclone,Ian,2022/9/28,2022/10/2,"Florida, North Carolina",240,107187331
Tornado,2023_jan_storm1,2023/1/12,2023/1/12,"Alabama, Georgia",145,792711
Severe weather,2023_dec_storm2,2023/12/16,2023/12/19,"Maine, Massachusetts, New Jersey, New York, Pennsylvania, South Carolina",,1338344
Severe weather,2023_dec_storm1,2023/12/9,2023/12/11,"Connecticut, Louisiana",,102950
Storm (General),2023_mar_storm1,2023/3/1,2023/3/3,"Alabama, Arkansas, Indiana, Kentucky, Louisiana, Mississippi, Ohio, Oklahoma, Tennessee, Texas",,6176971
Tornado,2023_mar_storm3,2023/3/22,2023/3/27,"Alabama, Georgia, Mississippi, Tennessee",,2985536
Tornado,2023_mar_storm4,2023/3/30,2023/4/3,"Alabama, Arkansas, Delaware, Illinois, Indiana, Iowa, Kansas, Kentucky, Mississippi, Missouri, Ohio, Oklahoma, Pennsylvania, Tennessee",,5662223
Severe weather,2023_mar_storm2,2023/3/9,2023/3/12,"California, Nevada",,262521
Storm (General),2023_apr_storm2,2023/4/15,2023/4/22,"Arkansas, Florida, Illinois, Iowa, Kansas, Louisiana, Missouri, Nebraska, Oklahoma, Texas",,3037011
Storm (General),2023_apr_storm3,2023/4/23,2023/4/27,"Florida, Georgia, Oklahoma, Texas",,1338344
Tornado,2023_apr_storm1,2023/4/3,2023/4/7,"Illinois, Indiana, Iowa, Kentucky, Michigan, Missouri, Ohio",,2985536
Storm (General),2023_may_storm1,2023/5/6,2023/5/8,"Colorado, Illinois, Indiana, Iowa, Kansas, Kentucky, Missouri, Nebraska, South Carolina, Tennessee, Texas",,2264889
Tornado,2023_jun_storm1,2023/6/10,2023/6/17,"Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, South Carolina, Tennessee, Texas",,4220930
Storm (General),2023_jun_storm2,2023/6/15,2023/6/22,"Arkansas, Colorado, Kansas, Louisiana, Michigan, Mississippi, Nebraska, Ohio, Oklahoma, Texas, Wyoming",,3912081
Storm (General),2023_jun_storm3,2023/6/23,2023/6/29,"Arkansas, Colorado, Indiana, Kentucky, Minnesota, Montana, Nebraska, Ohio, Oklahoma, South Dakota, Tennessee, Wyoming",,5456324
Tropical cyclone,Idalia,2023/8/28,2023/8/29,"Florida, Georgia, North Carolina, South Carolina",150,3603233
Severe weather,2023_sep_storm1,2023/9/21,2023/9/27,"Kentucky, Missouri, Nebraska, Oklahoma, Texas",,1647192
Severe weather,2024_jan_storm1,2024/1/8,2024/1/10,"Alabama, Colorado, Florida, Iowa, Kansas, Nebraska, New Mexico, South Carolina, South Dakota",,2850000
Blizzard/Winter storm,2024_jan_storm2,2024/1/9,2024/1/22,"Arkansas, Illinois, Kentucky, Louisiana, Maine, Massachusetts, Mississippi, New Jersey, New York, Oregon, Pennsylvania, Tennessee, Washington, Wisconsin",,3800000
Tropical cyclone,Milton,2024/10/9,2024/10/10,Florida,205,38000000
Severe weather,2024_feb_storm1,2024/2/4,2024/2/8,California,160,1100000
Severe weather,2024_feb_storm2,2024/2/8,2024/2/13,"Colorado, Connecticut, Massachusetts, Mississippi, New Hampshire, New Jersey, New Mexico, New York, Oklahoma, Pennsylvania, Texas, Wisconsin",,1300000
Tornado,2024_mar_storm1,2024/3/12,2024/3/16,"Arkansas, Illinois, Indiana, Kansas, Kentucky, Ohio, Oklahoma",,5900000
Severe weather,2024_mar_storm2,2024/3/29,2024/4/5,"California, Georgia, Kentucky, Maine, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Tennessee, Virginia, West Virginia",,2650000
Tornado,2024_apr_storm1,2024/4/25,2024/5/8,"Iowa, Kansas, Michigan, Missouri, Nebraska, Oklahoma, Tennessee, Texas",,1725000
Severe weather,2024_may_storm2,2024/5/16,2024/5/22,"Illinois, Iowa, Kansas, Missouri, Nebraska, Oklahoma, Texas, Wisconsin",160,4800000
Severe weather,2024_may_storm3,2024/5/23,2024/5/30,"Alabama, Arkansas, Colorado, Illinois, Kentucky, Missouri, Oklahoma, Texas",,3500000
Severe weather,2024_may_storm4,2024/5/30,2024/6/5,"Colorado, Texas",,3200000
Tornado,2024_may_storm1,2024/5/6,2024/5/8,"Alabama, Arkansas, Florida, Georgia, Indiana, Kansas, Kentucky, Michigan, Nebraska, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee",,6600000
Storm (General),2024_jul_storm1,2024/7/13,2024/7/17,"Arkansas, Illinois, Indiana, Minnesota, Mississippi, Missouri, Montana, New Jersey, New York, Ohio, Pennsylvania, South Dakota, Wisconsin",,2400000
Tropical cyclone,Beryl,2024/7/8,2024/7/9,"Louisiana, Texas",130,7200000
Tropical cyclone,Debby_2,2024/8/5,2024/8/6,"Florida, Georgia, North Carolina, Pennsylvania, South Carolina, Virginia",120,2500000
Tropical cyclone,Francine,2024/9/11,2024/9/12,"Alabama, Florida, Louisiana, Mississippi",148,1300000
Tropical cyclone,Helene,2024/9/25,2024/9/28,"Florida, Georgia, Indiana, Kentucky, North Carolina, South Carolina, Tennessee, Virginia",225,56000000
Blizzard/Winter storm,2025_jan_storm1,2025/1/5,2025/1/23,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Maryland, Missouri, New Jersey, North Carolina, South Carolina, Texas, Virginia, Washington",,50000
Severe weather,2025_dec_storm1,2025/12/8,2025/12/18,"Colorado, Idaho, Montana, Oregon, Washington, Wyoming",,200000
Severe weather,2025_feb_storm1,2025/2/13,2025/2/21,"Georgia, Kentucky, Maryland, Pennsylvania, Tennessee, Virginia",,1980000
Tornado,2025_mar_storm2,2025/3/14,2025/3/17,"Alabama, Arkansas, Kansas, Mississippi, Missouri, North Carolina, Oklahoma, Texas",,9400000
Severe weather,2025_mar_storm1,2025/3/3,2025/3/7,"Alabama, Iowa, Louisiana, Mississippi, Nebraska, New Mexico, Oklahoma, Tennessee, Texas",,2350000
Severe weather,2025_apr_storm2,2025/4/17,2025/4/23,"Arkansas, Illinois, Iowa, Louisiana, Maryland, Missouri, Nebraska, Oklahoma, Pennsylvania, Texas, Virginia, Washington, West Virginia, Wisconsin",,2500000
Severe weather,2025_apr_storm1,2025/4/2,2025/4/7,"Arkansas, Georgia, Indiana, Kentucky, Mississippi, Missouri, Tennessee",,4550000
Tornado,2025_may_storm1,2025/5/14,2025/5/17,"Kentucky, Missouri, Virginia",,5200000
Severe weather,2025_jun_storm1,2025/6/14,2025/6/15,"Ohio, Virginia, West Virginia",,2500000
Tropical cyclone,Chantal,2025/7/4,2025/7/7,North Carolina,,400000
Tropical cyclone,2025_aug_storm1,2025/8/15,2025/8/16,"New Jersey, North Carolina",,25000
